feature,importance
numeric__size_sqm,5338
numeric__floor,2023
numeric__building_age_2018,1797
numeric__bedrooms,480
categorical__district_朝阳,342
categorical__district_西城,340
numeric__living_rooms,277
categorical__district_海淀,272
categorical__district_昌平,201
categorical__district_顺义,190
categorical__district_北京周边,177
categorical__district_房山,157
categorical__district_密云,114
categorical__district_大兴,95
categorical__district_通州,88
categorical__district_丰台,71
categorical__district_门头沟,38
categorical__district_怀柔,0
categorical__district_延庆,0
categorical__district_平谷,0
categorical__district_石景山,0
