feature,coefficient_wan
numeric__size_sqm,1469.7957859639155
categorical__district_顺义,-1130.8389658016417
categorical__district_怀柔,-1126.9321579713735
categorical__district_密云,-1096.2151947626148
categorical__district_北京周边,-994.0209906135755
categorical__district_昌平,-993.7598303270271
categorical__district_平谷,-955.0652637607312
categorical__district_通州,-850.2230837727232
categorical__district_延庆,-814.791020834156
categorical__district_房山,-769.6242167431716
categorical__district_大兴,-756.3937499986381
categorical__district_门头沟,-689.0262984625247
categorical__district_丰台,-605.0648647277071
categorical__district_石景山,-556.1533721158787
categorical__district_朝阳,-319.964807373979
numeric__bedrooms,-212.62010114067334
categorical__district_海淀,-141.05461018238697
numeric__floor,41.57504186219549
numeric__living_rooms,-32.963815158918486
numeric__building_age_2018,8.23486687647013
categorical__district_西城,2.3313472079051505
